"","X","id","fsecurity","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability"
"220",220,20181202398000,0,5,4,3,0,0,0,1,2,2,0
"221",221,20181202399300,NA,1,0,0,1,0,0,0,0,0,1
"222",222,20181202399900,0,3,2,0,1,0,0,3,3,2,0
"223",223,20181202402100,NA,2,1,0,0,0,0,0,2,2,0
"224",224,20181202402300,0,2,1,0,2,0,0,2,1,2,0
"225",225,20181202403100,0,1,0,0,0,0,0,1,1,0,0
"226",226,20181202403800,0,4,3,2,0,0,0,0,1,2,0
"227",227,20181202404400,0,5,2,3,0,0,0,2,2,2,0
"228",228,20181202405100,0,1,0,0,1,0,0,0,0,0,1
"229",229,20181202405500,0,2,1,0,2,0,0,0,0,2,0
"230",230,20181202408500,0,3,1,2,0,0,0,0,1,0,0
"231",231,20181202408800,0,2,1,0,2,0,0,2,1,2,0
"232",232,20181202409600,0,2,1,0,1,0,0,2,2,2,0
"233",233,20181202410800,NA,2,1,0,1,0,0,1,1,2,1
"234",234,20181202413600,NA,4,1,1,0,0,0,2,1,2,0
"235",235,20181202415300,0,2,2,1,0,0,0,1,1,0,0
"236",236,20181202416900,0,10,6,6,0,0,0,0,3,2,0
"237",237,20181202417400,NA,2,1,0,0,0,0,0,2,2,0
"238",238,20181202418000,0,2,1,0,0,0,0,2,2,2,0
"239",239,20181202418400,0,2,1,0,0,0,0,1,2,2,1
"240",240,20181202419000,0,2,1,0,2,0,0,0,1,2,1
"241",241,20181202419500,0,2,1,0,0,0,0,0,2,2,0
"242",242,20181202420900,NA,4,2,2,0,0,0,1,2,2,0
"243",243,20181202421900,0,6,4,4,0,0,0,0,1,2,0
"244",244,20181202423000,NA,1.4,2,0,0,0,0,0,3,0,0
"245",245,20181202423300,0,1,0,0,1,1,0,0,0,0,0
"246",246,20181202423800,0,1,1,0,1,0,0,0,0,0,1
"247",247,20181202425100,NA,4,2,3,0,0,0,0,0,0,0
"248",248,20181202425800,5,5,2,3,0,0,1,0,2,0,0
"249",249,20181202426300,0,2,1,0,0,0,0,2,2,0,0
"250",250,20181202426900,NA,3,1,0,0,0,0,1,2,2,0
"251",251,20181202428700,NA,2,1,0,0,0,0,1,2,0,0
"252",252,20181202429600,0,2,1,0,0,0,0,1,2,0,0
"253",253,20181202429900,2,4,3,2,0,0,0,0,2,2,0
"254",254,20181202430300,0,4,2,2,0,0,0,2,2,2,0
"255",255,20181202431100,0,1,1,0,0,0,0,1,1,0,0
"256",256,20181202433000,NA,2,2,1,0,0,0,1,0,0,0
"257",257,20181202433100,0,1,1,0,0,0,1,1,1,0,0
"258",258,20181202433300,NA,4,2,1,0,0,0,1,4,2,0
"259",259,20181202436700,0,1,1,0,0,0,0,1,2,0,0
"260",260,20181202438200,0,1,1,0,1,0,0,0,0,0,1
"261",261,20181202438800,0,2,1,0,2,0,0,2,1,2,0
"262",262,20181202439000,0,2,1,0,0,0,0,1,1,0,0
"263",263,20181202439300,0,1,0,0,0,0,0,1,1,0,0
"264",264,20181202440700,0,4,1,2,0,0,0,2,2,2,0
"265",265,20181202440900,0,1,0,0,0,0,1,1,2,0,0
"266",266,20181202444800,0,2,1,0,2,0,0,2,0,2,0
"267",267,20181202447000,NA,1,0,0,0,0,0,1,1,1,1
"268",268,20181202448500,0,1,0,0,1,0,0,1,0,0,1
"269",269,20181202448800,NA,2,1,0,0,0,0,0,2,0,1
"270",270,20181202448900,0,1,1,0,1,0,0,0,0,0,1
"271",271,20190302428500,0,1,1,0,0,0,0,2,2,0,0
"272",272,20190902339300,0,5,2,3,0,0,0,1,2,2,0
"273",273,20190902339700,5,2,1,0,0,0,1,2,2,2,0
"274",274,20190902340500,0,2,2,0,1,0,0,0,2,0,1
"275",275,20190902340800,NA,1,1,0,1,0,0,0,0,1,1
"276",276,20190902341600,0,2,1,0,0,0,0,2,1,2,0
"277",277,20190902342200,0,3,1,1,0,0,0,2,2,2,0
"278",278,20190902342500,0,1,1,0,1,0,0,0,1,0,0
"279",279,20190902344800,0,2,1,0,0,0,0,2,2,2,0
"280",280,20190902345400,0,3,2,0,0,0,0,0,1,2,1
"281",281,20190902345900,4,1,1,0,0,0,0,1,0,0,1
"282",282,20190902346000,0,5,2,3,0,5,0,0,2,2,0
"283",283,20190902351900,0,2,1,0,0,0,0,2,2,2,0
"284",284,20190902353200,NA,2,0,0,2,0,0,0,2,0,0
"285",285,20190902354400,NA,1,0,0,0,0,0,0,1,0,0
