"","GEOID","population","female","avg_hhsize","hispanic","black","kids","elderly","education","employed","married","disability","households"
"Block Group 3, Census Tract 9603, Benton County, Iowa","19011960300",1314,671,2.43,10,31,325,268,215,547,526,175,540.740740740741
"Block Group 3, Census Tract 9607, Benton County, Iowa","19011960700",949,475,1.91,11,0,189,208,176,420,337,138,496.858638743456
"Block Group 1, Census Tract 9604, Benton County, Iowa","19011960400",2399,1147,2.32,41,17,431,547,572,1238,1396,210,1034.05172413793
"Block Group 3, Census Tract 9602, Benton County, Iowa","19011960200",1171,605,2.61,17,0,312,122,237,673,522,70,448.659003831418
"Block Group 1, Census Tract 9605, Benton County, Iowa","19011960500",2703,1267,2.78,6,39,789,299,905,1506,1390,174,972.302158273381
"Block Group 1, Census Tract 9606, Benton County, Iowa","19011960600",1114,571,2.31,46,0,255,237,213,600,630,80,482.251082251082
"Block Group 2, Census Tract 801, Clay County, Iowa","19041080100",713,321,2.52,0,0,161,139,193,390,320,60,282.936507936508
"Block Group 1, Census Tract 801, Clay County, Iowa","19041080100",706,308,2.43,66,0,163,103,146,399,328,62,290.534979423868
"Block Group 1, Census Tract 4910, Lee County, Iowa","19111491000",632,282,2.28,15,8,145,138,110,262,191,130,277.19298245614
"Block Group 3, Census Tract 4911, Lee County, Iowa","19111491100",1142,649,2.9,21,7,352,105,309,490,556,125,393.793103448276
"Block Group 1, Census Tract 2903, Harrison County, Iowa","19085290300",1215,605,2.47,0,0,262,226,230,649,626,115,491.902834008097
"Block Group 1, Census Tract 2902, Harrison County, Iowa","19085290200",1092,458,2.23,46,0,199,167,216,593,552,114,489.686098654709
"Block Group 2, Census Tract 2901, Harrison County, Iowa","19085290100",752,327,2.17,0,0,174,143,169,393,362,75,346.543778801843
"Block Group 3, Census Tract 2904, Harrison County, Iowa","19085290400",1094,672,1.79,47,0,169,309,178,577,385,203,611.173184357542
"Block Group 1, Census Tract 2904, Harrison County, Iowa","19085290400",750,409,2.49,8,0,236,89,74,316,254,101,301.204819277108
"Block Group 1, Census Tract 9501, Lucas County, Iowa","19117950100",813,370,2.49,0,0,209,160,112,339,412,81,326.506024096385
"Block Group 3, Census Tract 6801, Wright County, Iowa","19197680100",983,531,2.16,72,0,247,267,158,377,432,117,455.092592592593
"Block Group 1, Census Tract 6804, Wright County, Iowa","19197680400",1189,590,2.11,62,22,265,301,220,573,593,106,563.507109004739
"Block Group 1, Census Tract 6803, Wright County, Iowa","19197680300",711,353,1.94,128,1,169,82,175,360,242,49,366.494845360825
"Block Group 2, Census Tract 6805, Wright County, Iowa","19197680500",597,334,2.25,11,0,128,144,149,284,306,78,265.333333333333
"Block Group 4, Census Tract 6805, Wright County, Iowa","19197680500",753,294,2.27,51,0,217,130,38,231,319,151,331.718061674009
"Block Group 1, Census Tract 704, Butler County, Iowa","19023070400",1648,772,2.13,32,8,358,343,368,836,787,98,773.708920187793
"Block Group 1, Census Tract 705, Butler County, Iowa","19023070500",1478,766,2.24,37,0,340,266,350,777,777,150,659.821428571429
"Block Group 3, Census Tract 4903, O'Brien County, Iowa","19141490300",936,496,2.13,97,0,232,192,246,488,485,149,439.43661971831
"Block Group 2, Census Tract 4901, O'Brien County, Iowa","19141490100",427,217,1.99,11,0,39,59,149,285,284,37,214.572864321608
"Block Group 1, Census Tract 16, Linn County, Iowa","19113001600",1043,556,2.16,16,0,219,219,419,467,505,63,482.87037037037
"Block Group 4, Census Tract 16, Linn County, Iowa","19113001600",1103,562,2.62,22,0,322,283,395,488,659,67,420.992366412214
"Block Group 2, Census Tract 22, Linn County, Iowa","19113002200",1221,619,2.96,32,410,394,78,116,594,281,94,412.5
"Block Group 1, Census Tract 22, Linn County, Iowa","19113002200",1052,347,2.12,75,256,154,51,144,417,148,42,496.22641509434
"Block Group 2, Census Tract 26, Linn County, Iowa","19113002600",1064,609,2.23,3,12,262,69,228,711,346,85,477.130044843049
"Block Group 3, Census Tract 9502, Ringgold County, Iowa","19159950200",430,241,2.49,0,0,130,76,97,198,179,35,172.690763052209
"Block Group 1, Census Tract 9502, Ringgold County, Iowa","19159950200",1039,600,2.12,64,0,221,267,248,465,471,109,490.094339622641
"Block Group 2, Census Tract 9502, Ringgold County, Iowa","19159950200",1027,545,2.31,38,4,195,230,255,498,463,153,444.588744588745
"Block Group 4, Census Tract 9502, Ringgold County, Iowa","19159950200",363,201,2.37,12,0,98,94,57,117,162,69,153.164556962025
"Block Group 1, Census Tract 9501, Adams County, Iowa","19003950100",970,475,2.13,16,0,178,226,256,436,533,126,455.399061032864
"Block Group 2, Census Tract 9501, Adams County, Iowa","19003950100",681,332,2.47,0,0,174,152,103,322,315,65,275.708502024291
"Block Group 2, Census Tract 9502, Adams County, Iowa","19003950200",1045,518,2.23,18,0,188,246,253,462,582,137,468.609865470852
"Block Group 1, Census Tract 9502, Adams County, Iowa","19003950200",974,515,2.12,15,2,227,212,227,454,407,128,459.433962264151
"Block Group 2, Census Tract 9601, Adair County, Iowa","19001960100",610,271,2.29,12,0,121,126,226,356,383,95,266.375545851528
"Block Group 3, Census Tract 9601, Adair County, Iowa","19001960100",745,362,2.14,14,22,138,132,173,382,369,104,348.130841121495
"Block Group 1, Census Tract 9603, Adair County, Iowa","19001960300",488,257,1.72,0,16,62,102,95,283,214,70,283.720930232558
"Block Group 3, Census Tract 9603, Adair County, Iowa","19001960300",696,346,1.98,17,0,188,139,151,330,226,114,351.515151515152
"Block Group 2, Census Tract 9602, Adair County, Iowa","19001960200",1093,573,2.33,8,0,273,261,274,512,573,120,469.098712446352
"Block Group 1, Census Tract 9602, Adair County, Iowa","19001960200",478,232,2.22,31,0,62,123,141,245,276,72,215.315315315315
"Block Group 2, Census Tract 117, Scott County, Iowa","19163011700",773,423,2.36,80,92,173,45,230,459,398,24,327.542372881356
"Block Group 3, Census Tract 121, Scott County, Iowa","19163012100",726,331,1.96,44,14,87,219,191,353,326,63,370.408163265306
